City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
158,Portland,US,92.64,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
160,Kaeo,NZ,48.33,scattered clouds,-35.1,173.7833,Bushido Lodge
161,Calbuco,CL,54.61,scattered clouds,-41.768,-73.1273,Hotel Colonial
162,Khatanga,RU,61.34,broken clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
163,Narsaq,GL,61.02,overcast clouds,60.9167,-46.05,Narsaq Kayak Hostel
164,Hervey Bay,AU,65.01,clear sky,-25.2986,152.8535,Shelly Bay Resort
165,Yulara,AU,49.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
166,Moose Factory,CA,63.59,scattered clouds,51.2585,-80.6094,Moosonee Lilypad
167,Fortuna,US,70.86,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
168,Vitim,RU,56.32,light rain,59.4511,112.5578,Uyut
169,Green River,US,84.18,overcast clouds,41.5286,-109.4662,Hampton Inn & Suites Green River
170,Presidencia Roque Saenz Pena,AR,72.73,clear sky,-26.7852,-60.4388,Hotel Gualok
171,Thompson,CA,84.07,scattered clouds,55.7435,-97.8558,Burntwood Hotel
172,Kodiak,US,54.91,haze,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
173,Cabo San Lucas,MX,99.52,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
174,Hasaki,JP,77.4,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
175,Mayskiy,RU,87.44,few clouds,47.6931,40.1025,Dio Lakrua
176,Kisujszallas,HU,71.62,broken clouds,47.2167,20.7667,Hotel Kumánia
177,Patu,BR,83.23,overcast clouds,-6.11,-37.6367,Pousada Cidade do Sol
178,Praia Da Vitoria,PT,77.76,overcast clouds,38.7333,-27.0667,Hotel Branco I
179,Myanaung,MM,77.36,overcast clouds,18.2833,95.3167,Taung Hlay Khar
180,Huntsville,US,85.82,scattered clouds,34.7304,-86.5861,Embassy Suites by Hilton Huntsville Hotel & Spa
181,Tuktoyaktuk,CA,60.01,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
182,Mamontovo,RU,65.64,broken clouds,52.7055,81.6244,Hostel Postoyaliy Dvor
183,Port Hedland,AU,60.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
185,Vila Velha,BR,72.97,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
186,Kontagora,NG,71.29,moderate rain,10.3999,5.4695,Queens Guest Inn
189,Fairbanks,US,73.36,few clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
190,Kyzyl-Suu,KG,61.16,overcast clouds,42.3414,78.0056,Gostinitsa Nur-Ordo
193,Grindavik,IS,55.56,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
194,Kavieng,PG,81.5,clear sky,-2.5744,150.7967,Nusa Island Retreat
195,Saint-Francois,FR,62.04,scattered clouds,46.4154,3.9054,Manoir Du Bonheur
197,Ojinaga,MX,79.75,scattered clouds,29.5667,-104.4167,Suites Las Palmas
198,Hofn,IS,54.37,overcast clouds,64.2539,-15.2082,Hótel Höfn
199,Margate,GB,60.89,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
200,Sabzevar,IR,78.44,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
201,Ulaanbaatar,MN,68.13,light rain,47.9077,106.8832,The Blue Sky Hotel and Tower
202,Alyangula,AU,62.47,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
203,Hithadhoo,MV,80.98,moderate rain,-0.6,73.0833,Scoop Guest House
205,Khvoynaya,RU,62.37,overcast clouds,58.9,34.5333,Al'batros
206,Umm Lajj,SA,87.82,clear sky,25.0213,37.2685,Moon light Furnished Units
207,Ketchikan,US,66.67,overcast clouds,55.3422,-131.6461,Snows Cove Lodge
209,Tabou,CI,76.24,broken clouds,4.423,-7.3528,hotêl doufoulougou
210,Marystown,CA,63.93,overcast clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
211,Pisco,PE,66.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
212,Sigli,ID,80.62,overcast clouds,5.3848,95.9609,Losmen Dua Mali
213,Mar Del Plata,AR,52.09,mist,-38.0023,-57.5575,Gran Hotel Mar del Plata
214,Padang,ID,75.16,overcast clouds,-0.9492,100.3543,Mercure Padang
216,Freistadt,AT,58.44,overcast clouds,48.511,14.5045,Hotel und Gasthaus zum Goldenen Hirschen
217,Lagoa,PT,72.3,broken clouds,39.05,-27.9833,Casa Das Faias
218,Tabas,IR,87.51,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
219,Esperance,AU,54.1,broken clouds,-33.8667,121.9,Hospitality Esperance
220,Calama,CL,68.49,overcast clouds,-22.4667,-68.9333,Diego De Almagro Calama
221,Warrnambool,AU,45.81,clear sky,-38.3833,142.4833,Lady Bay Resort
224,Xining,CN,59.56,few clouds,36.6167,101.7667,Super Leisure Hotel
225,Kruisfontein,ZA,54.88,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
226,Waddan,LY,91.71,clear sky,29.1614,16.139,محل الشريف محمد العايب
227,Beipiao,CN,64.94,light rain,41.7919,120.7792,Beipiao Hotel
228,Ixtapa,MX,90.23,few clouds,20.7,-105.2,Hotel Plaza Providencia
229,Bacolod,PH,78.94,overcast clouds,10.6667,122.95,Planta Hotel & Residences
231,Broome,US,66.7,overcast clouds,42.2506,-75.833,Chenango Valley State Park
232,Oistins,BB,86.09,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
233,Turukhansk,RU,53.78,scattered clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
234,Lipetsk,RU,74.16,overcast clouds,52.6031,39.5708,Mercure Lipetsk Center
235,Bar Harbor,US,76.93,clear sky,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
236,Soyo,AO,72.91,few clouds,-6.1349,12.3689,Hotel Mpampa
238,Sisimiut,GL,57.65,clear sky,66.9395,-53.6735,Hotel Sisimiut
239,Nabire,ID,75.18,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
240,Miyang,CN,63.12,clear sky,24.4042,103.4428,Huibinlou Hotel
241,Sitka,US,62.49,broken clouds,57.0531,-135.33,Westmark Sitka
242,Maningrida,AU,66.94,few clouds,-12.0667,134.2667,Dhukurrdji Lodge
243,Ferme-Neuve,CA,63.64,overcast clouds,46.7001,-75.4493,Pourvoirie Club Fontbrune Ltee
244,Victoria,HK,85.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
245,Matara,LK,78.55,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
246,Rio Grande,BR,53.71,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
247,Vredendal,ZA,54.63,few clouds,-31.6683,18.5012,Tharrakamma Guest House
248,Luanda,AO,71.73,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
249,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
250,Araguacu,BR,93.78,clear sky,-12.9306,-49.8264,Hotel Tocantins
251,Port Lincoln,AU,52.59,clear sky,-34.7333,135.8667,Port Lincoln Hotel
252,Murray Bridge,AU,54.7,clear sky,-35.1167,139.2667,Balcony On Sixth Lodge
254,Whitehorse,CA,79.11,clear sky,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
255,Kahului,US,83.46,few clouds,20.8947,-156.47,Maui Seaside Hotel
257,Chicama,PE,64.94,clear sky,-7.8447,-79.1469,Balihai Bungalows
258,Kampene,CD,76.6,overcast clouds,-3.6,26.6667,Paroisse catholique Kampene
259,Kavaratti,IN,82.18,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
260,Ormara,PK,81.43,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
261,Kapit,MY,73.65,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
263,Trenggalek,ID,72.63,broken clouds,-8.05,111.7167,OYO 2966 Hotel Atriaz
264,Ordu,TR,61.3,clear sky,40.9086,37.6845,Orencik Koyu Muhtarligi
265,Tulum,MX,90.93,broken clouds,20.2167,-87.4667,Kin Ha Tulum
266,Casper,US,83.01,haze,42.8666,-106.3131,Ramkota Hotel
267,Basey,PH,77.7,overcast clouds,11.2817,125.0683,Mary Land Home Stay
268,Atar,MR,98.2,clear sky,20.5169,-13.0499,Oumou Elghoura
269,Hofu,JP,78.67,light rain,34.05,131.5667,APA HOTEL YAMAGUCHI-HOFU
270,Aksu,CN,77.13,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
271,Naftalan,AZ,80.02,overcast clouds,40.5067,46.825,Gashalti Health Hotel - Naftalan
272,Morehead,US,83.3,scattered clouds,37.2711,-87.1764,CCI Express Inn
273,Ruidoso,US,78.66,broken clouds,33.3317,-105.673,Inn of the Mountain Gods
274,Constitucion,CL,61.75,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
276,Bonavista,CA,65.07,overcast clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
277,Boca Do Acre,BR,93.76,clear sky,-8.7522,-67.3978,Hotel Sao Pedro
278,Buraydah,SA,89.17,clear sky,26.326,43.975,فندق راحة السلام
279,Sao Filipe,CV,76.01,few clouds,14.8961,-24.4956,Hotel Xaguate
280,Santiago Del Estero,AR,66.81,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
281,Kochubey,RU,76.37,scattered clouds,44.3861,46.5825,Придорожный комплекс EUROPA
283,Bejar,ES,69.58,few clouds,40.3864,-5.7634,Hotel Cinco Castaños
286,Ulaangom,MN,59.23,overcast clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
287,La Ronge,CA,80.17,clear sky,55.1001,-105.2842,Northland Motor Hotel
288,Rawson,AR,64.71,few clouds,-43.3002,-65.1023,Hosteria Sampedro
289,Vao,NC,65.62,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
290,Aller,ES,64.06,broken clouds,43.1187,-5.5839,Ca'l Xabú
291,Tauranga,NZ,47.93,scattered clouds,-37.6861,176.1667,Hotel On Devonport
292,Sao Joao Da Barra,BR,68.09,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
295,Korgen,NO,51.31,scattered clouds,66.0771,13.8153,Huset Cafe & Motell as
296,Namatanai,PG,78.33,clear sky,-3.6667,152.4333,Seagulls Inn Namatani
297,Saint-Philippe,RE,67.55,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
298,Los Llanos De Aridane,ES,67.75,few clouds,28.6585,-17.9182,Valle Aridane
299,Alice Springs,AU,53.15,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
300,Joensuu,FI,64.89,broken clouds,62.6012,29.7632,Original Sokos Hotel Kimmel
301,Insar,RU,69.67,overcast clouds,53.8653,44.3738,"Dom Otdykha ""Vasyuk"""
302,Naze,JP,78.71,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
303,Bluefields,NI,87.87,scattered clouds,12.0137,-83.7635,Flamingo Hotel and Casino
305,Mahanoro,MG,64.6,scattered clouds,-19.9,48.8,BUNGALOW MAHAMANINA
306,Moron,AR,61.81,clear sky,-34.6534,-58.6198,Hotel Morón
307,Saldanha,ZA,56.01,broken clouds,-33.0117,17.9442,Blue Bay Lodge
308,Fort Morgan,US,82.81,clear sky,40.2503,-103.8,Hampton Inn Fort Morgan
309,Hami,CN,68.9,broken clouds,42.8,93.45,Laoyutang Resort
310,Ankang,CN,77.65,clear sky,32.68,109.0172,安琪酒店
311,Moses Lake,US,77.36,haze,47.1301,-119.2781,Ramada by Wyndham Moses Lake
312,Celestun,MX,85.17,broken clouds,20.8667,-90.4,Posada Lilia
314,Guanica,PR,89.51,scattered clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
315,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Poutur Pousada
316,Falam,MM,63.7,overcast clouds,22.9167,93.6833,Falang Government Guesthouse
317,Coquimbo,CL,60.53,clear sky,-29.9533,-71.3436,Punto de encuentro
319,Coihaique,CL,53.55,overcast clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
320,Acoua,YT,75.11,clear sky,-12.7239,45.0582,Gîte de Mliha
321,Torbay,CA,72.28,few clouds,47.6666,-52.7314,Gallows Cove
323,Necochea,AR,57.04,clear sky,-38.5473,-58.7368,dyd -mar Hotel
325,Bubaque,GW,79.29,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
326,Bellary,IN,74.48,scattered clouds,15.15,76.9333,Hotel Pawan
327,Buchanan,LR,76.96,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
329,Barguzin,RU,55.81,clear sky,53.6167,109.6167,"Gostevoy Dom S.barguzin ""Vizit"""
330,Malakal,SS,70.84,overcast clouds,9.5334,31.6605,Nile Palace Hotel
331,Longyearbyen,SJ,46.24,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
332,Isangel,VU,67.59,broken clouds,-19.55,169.2667,Tanna Lodge
333,Penalva,BR,87.87,overcast clouds,-3.2942,-45.1736,Hotel São José
334,Port-Gentil,GA,76.24,overcast clouds,-0.7193,8.7815,Fengshui Residence
335,Sao Raimundo Das Mangabeiras,BR,93.7,scattered clouds,-7.0219,-45.4811,Hotel Tropical
337,Talnakh,RU,54.88,overcast clouds,69.4865,88.3972,Talnakh Hotel
338,Tazovskiy,RU,53.17,overcast clouds,67.4667,78.7,TazHostel
339,Ribeira Grande,PT,75.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
340,Waingapu,ID,74.62,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
341,Farsala,GR,90.34,clear sky,39.2947,22.3847,Aigli
343,Laguna,US,102.15,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
344,Fort-Shevchenko,KZ,82.87,clear sky,44.5086,50.263,Oasis hotel Bautino
345,Plyussa,RU,60.15,broken clouds,58.4308,29.3654,Service hotel
346,Arica,CL,62.83,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
348,Humberto De Campos,BR,84.97,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
349,Nome,US,51.87,mist,64.5011,-165.4064,Dredge 7 Inn
350,Port Hardy,CA,64.13,clear sky,50.6996,-127.4199,Airport Inn
351,Srikakulam,IN,82.29,overcast clouds,18.3,83.9,Sriram residency
352,Hambantota,LK,79.52,overcast clouds,6.1241,81.1185,Bungalow 63
353,Masvingo,ZW,56.07,clear sky,-20.0637,30.8277,River Side Lodge
354,Moerai,PF,74.32,overcast clouds,-22.4333,-151.3333,Le Manotel
355,Akdagmadeni,TR,58.82,clear sky,39.6603,35.8836,Hanedan Otel
356,Yenagoa,NG,77.4,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
357,Shimoda,JP,72.1,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
358,Tongliao,CN,68.29,overcast clouds,43.6125,122.2653,Meirujia Hotel
359,Petropavlovsk-Kamchatskiy,RU,48.79,fog,53.0452,158.6483,The Hotel Petropavlovsky
360,Aswan,EG,95.05,clear sky,24.0934,32.907,Nuba Nile
361,Asau,RO,76.28,clear sky,46.4333,26.4,Casa Mika Ciobanus
362,Galveston,US,97.14,few clouds,29.3669,-94.9669,Comfort Inn & Suites Texas City
363,Zhoucheng,CN,73.76,clear sky,35.9122,116.3117,Yingbin Restaurant
365,Saint-Denis,FR,68.49,clear sky,48.9167,2.3333,ibis budget Paris Porte de Montmartre
366,Bereda,ES,63.41,overcast clouds,43.2686,-7.5406,Pazo de Verdes
367,Mount Isa,AU,58.77,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
368,Hondo,JP,79.88,broken clouds,32.45,130.2,ホテル河丁
369,Vaitape,PF,77.14,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
370,Nelson Bay,AU,55.0,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
371,Kandrian,PG,77.14,overcast clouds,-6.2167,149.55,Kandrian Station
372,Dingle,PH,77.43,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
373,Vila Franca Do Campo,PT,72.01,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
