City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Union City,US,37.5958,-122.0192,88.61,51,1,4.0,clear sky
80,Katsuura,JP,35.1333,140.3,81.1,85,1,5.84,clear sky
81,Inirida,CO,3.8653,-67.9239,77.54,92,53,4.36,broken clouds
82,Bengkulu,ID,-3.8004,102.2655,74.55,89,94,4.61,overcast clouds
83,Bethel,US,41.3712,-73.414,77.09,68,75,6.91,broken clouds
84,Smithers,CA,54.7804,-127.1743,88.2,32,0,1.61,clear sky
85,Souillac,MU,-20.5167,57.5167,69.37,78,38,14.76,light rain
86,Rawah,IQ,34.4816,41.9093,95.97,12,0,10.63,clear sky
87,Kayerkan,RU,69.3497,87.7602,52.2,92,100,3.22,overcast clouds
88,Cap-Aux-Meules,CA,47.3821,-61.8597,63.9,75,1,15.93,clear sky
89,Balangir,IN,20.7167,83.4833,75.74,85,80,5.53,broken clouds
90,Georgetown,MY,5.4112,100.3354,76.93,90,20,3.44,few clouds
91,Yago,MX,21.8333,-105.0667,96.33,45,2,5.77,clear sky
92,Touros,BR,-5.1989,-35.4608,79.7,71,5,20.2,clear sky
93,Qaanaaq,GL,77.484,-69.3632,43.16,80,88,1.72,overcast clouds
94,Panama City,PA,8.9936,-79.5197,89.17,75,40,11.5,scattered clouds
95,Keta,GH,5.9179,0.9879,77.49,81,9,8.39,clear sky
96,Kulmbach,DE,50.1,11.45,61.7,91,100,4.03,overcast clouds
97,Myrtle Beach,US,33.6891,-78.8867,96.98,70,75,16.11,broken clouds
98,Kulhudhuffushi,MV,6.6221,73.07,82.36,77,100,15.55,overcast clouds
99,Bilibino,RU,68.0546,166.4372,38.57,62,69,5.55,broken clouds
100,Mahebourg,MU,-20.4081,57.7,69.26,74,50,17.07,light rain
101,Nuuk,GL,64.1835,-51.7216,61.41,55,75,2.3,broken clouds
102,Norman Wells,CA,65.282,-126.8329,89.31,25,0,1.66,clear sky
103,Udachnyy,RU,66.4167,112.4,63.84,43,28,4.0,scattered clouds
104,Cochrane,CA,51.1834,-114.4687,93.2,23,74,14.99,broken clouds
105,Inongo,CD,-1.95,18.2667,71.69,59,60,3.85,broken clouds
106,Luderitz,NA,-26.6481,15.1594,66.56,37,0,10.11,clear sky
107,Butaritari,KI,3.0707,172.7902,83.01,69,17,9.75,few clouds
108,Atuona,PF,-9.8,-139.0333,76.91,71,42,12.64,scattered clouds
